trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
370,False,"{'a': 0.35, 'e': 0.1580253208896478}",30,13,14.99181490391959,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.35, 'e': 0.1572371663136276}",20,0,-2.5875960538770366,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
372,False,"{'a': 0.35, 'e': 0.15645294267495474}",25,15,11.089619737954285,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.35, 'e': 0.1556726303679973}",20,1,27.1907358957752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.35, 'e': 0.15489620988490704}",20,9,13.55065832908933,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.35, 'e': 0.1541236618151314}",20,0,15.946716048921276,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
376,False,"{'a': 0.35, 'e': 0.15335496684492847}",25,9,-12.275970788088213,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
377,False,"{'a': 0.35, 'e': 0.15259010575688386}",20,11,-8.621406712468861,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
378,False,"{'a': 0.35, 'e': 0.1518290594294306}",20,7,19.80570287824067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.35, 'e': 0.15107180883637084}",20,4,-15.650508500415368,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
380,False,"{'a': 0.35, 'e': 0.15031833504640033}",30,15,22.474717090491154,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.35, 'e': 0.14956861922263504}",25,5,-7.963826448742038,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
382,False,"{'a': 0.35, 'e': 0.14882264262214037}",25,7,25.696135432962954,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.35, 'e': 0.14808038659546244}",20,10,6.8799927623364,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
384,False,"{'a': 0.35, 'e': 0.14734183258616193}",25,11,-18.15927100161527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
385,False,"{'a': 0.35, 'e': 0.14660696213035015}",30,16,-13.318620235815287,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
386,False,"{'a': 0.35, 'e': 0.14587575685622736}",20,12,-8.499994626176704,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
387,False,"{'a': 0.35, 'e': 0.14514819848362373}",25,10,26.10387996903662,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.35, 'e': 0.14442426882354198}",35,21,24.424482363756162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.35, 'e': 0.14370394977770293}",25,8,-22.91381730700174,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
390,False,"{'a': 0.35, 'e': 0.14298722333809288}",20,16,8.989437390010991,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.35, 'e': 0.1422740715865136}",20,11,5.962822070485387,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.35, 'e': 0.14156447669413402}",20,11,-7.266757878895876,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
393,False,"{'a': 0.35, 'e': 0.140858420921045}",30,13,38.40665538089129,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.35, 'e': 0.14015588661581535}",30,10,-25.44288517257106,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
395,False,"{'a': 0.35, 'e': 0.13945685621505094}",30,16,27.97310264141036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.35, 'e': 0.13876131224295524}",25,0,-26.665643598289016,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
397,False,"{'a': 0.35, 'e': 0.13806923731089282}",25,9,28.256801257327332,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.35, 'e': 0.13738061411695424}",20,12,13.448246881623866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.35, 'e': 0.13669542544552385}",30,10,21.13101506214022,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.35, 'e': 0.13601365416684916}",20,16,10.234617338794658,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.35, 'e': 0.1353352832366127}",20,10,12.43539902349988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.35, 'e': 0.13466029569550586}",30,16,20.2643324221523,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.35, 'e': 0.13398867466880493}",20,6,-1.4389315219201917,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
404,False,"{'a': 0.35, 'e': 0.13332040336594936}",25,17,16.336538735535477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.35, 'e': 0.13265546508012172}",30,3,25.766456439456277,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.35, 'e': 0.13199384318783022}",20,13,10.26573005630858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.35, 'e': 0.13133552114849303}",20,16,9.720556474909207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
